Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
The Lord of the Rings: The Return of the King,2003.0,Action,Electronic Arts,0.53,0.14,0.0,0.02,0.69
Naruto: Clash of Ninja,2003.0,Fighting,Tomy Corporation,0.53,0.14,0.0,0.02,0.68
Madagascar,2005.0,Platform,Activision,0.52,0.13,0.0,0.02,0.66
The Sims: Bustin' Out,2003.0,Simulation,Electronic Arts,0.43,0.2,0.0,0.03,0.66
F-Zero GX,2003.0,Racing,Nintendo,0.41,0.11,0.12,0.02,0.65
Namco Museum,2002.0,Misc,Namco Bandai Games,0.48,0.13,0.0,0.02,0.63
Madden NFL 07,2006.0,Sports,Electronic Arts,0.48,0.13,0.0,0.02,0.62
Viewtiful Joe,2003.0,Action,Capcom,0.38,0.1,0.12,0.02,0.62
Pac-Man Player's Choice Bundle,2003.0,Misc,Namco Bandai Games,0.48,0.12,0.0,0.02,0.62
Madden NFL 2002,2001.0,Sports,Electronic Arts,0.47,0.12,0.0,0.02,0.61
Wave Race: Blue Storm,2001.0,Racing,Nintendo,0.4,0.1,0.09,0.02,0.6
Medal of Honor: Frontline,2002.0,Shooter,Electronic Arts,0.46,0.12,0.0,0.02,0.59
Crash Bandicoot: The Wrath of Cortex,2002.0,Platform,Universal Interactive,0.46,0.12,0.0,0.02,0.59
Tony Hawk's Pro Skater 4,2002.0,Sports,Activision,0.45,0.12,0.0,0.02,0.58
Madden NFL 06,2005.0,Sports,Electronic Arts,0.44,0.11,0.0,0.02,0.57
True Crime: Streets of LA,2003.0,Action,Activision,0.44,0.11,0.0,0.02,0.56
Need for Speed: Most Wanted,2005.0,Racing,Electronic Arts,0.43,0.11,0.0,0.02,0.56
Fire Emblem: Path of Radiance,2005.0,Action,Nintendo,0.29,0.08,0.16,0.01,0.54
SSX Tricky,2001.0,Sports,Electronic Arts,0.42,0.11,0.0,0.01,0.54
X-Men Legends,2004.0,Role-Playing,Activision,0.41,0.11,0.0,0.01,0.53
The Lord of the Rings: The Two Towers,2002.0,Action,Electronic Arts,0.41,0.11,0.0,0.01,0.53
Madden NFL 2004,2003.0,Sports,Electronic Arts,0.4,0.1,0.0,0.01,0.51
Avatar: The Last Airbender,2006.0,Adventure,THQ,0.39,0.1,0.0,0.01,0.5
Tony Hawk's Underground 2,2004.0,Sports,Activision,0.38,0.1,0.0,0.01,0.5
WWE Wrestlemania X8,2002.0,Fighting,THQ,0.38,0.1,0.0,0.01,0.49
The Sims,2003.0,Simulation,Electronic Arts,0.35,0.13,0.0,0.01,0.49
Crazy Taxi,2001.0,Racing,Acclaim Entertainment,0.36,0.09,0.02,0.01,0.49
Dance Dance Revolution: Mario Mix,2005.0,Misc,Nintendo,0.36,0.09,0.0,0.01,0.47
Metal Gear Solid: The Twin Snakes,2004.0,Action,Konami Digital Entertainment,0.3,0.08,0.07,0.01,0.47
Enter the Matrix,2003.0,Action,Atari,0.34,0.09,0.02,0.01,0.45
Phantasy Star Online Episode I & II,2002.0,Role-Playing,Infogrames,0.23,0.06,0.16,0.01,0.45
NBA Live 2005,2004.0,Sports,Electronic Arts,0.35,0.09,0.0,0.01,0.45
WWE Day of Reckoning,2004.0,Fighting,THQ,0.35,0.09,0.0,0.01,0.45
"SpongeBob SquarePants: Lights, Camera, Pants!",2005.0,Misc,THQ,0.34,0.09,0.0,0.01,0.44
Naruto: Gekito Ninja Taisen! 3,2004.0,Fighting,Tomy Corporation,0.0,0.0,0.43,0.01,0.44
Wario World,2003.0,Platform,Nintendo,0.34,0.09,0.0,0.01,0.44
TimeSplitters 2,2002.0,Shooter,Eidos Interactive,0.34,0.09,0.0,0.01,0.44
Eternal Darkness: Sanity's Requiem,2002.0,Adventure,Nintendo,0.34,0.09,0.0,0.01,0.44
Madden NFL 2003,2002.0,Sports,Electronic Arts,0.33,0.09,0.0,0.01,0.43
NBA Street,2002.0,Sports,Electronic Arts,0.33,0.09,0.0,0.01,0.42
Medal of Honor: Rising Sun,2003.0,Shooter,Electronic Arts,0.33,0.09,0.0,0.01,0.42
Tony Hawk's American Wasteland,2005.0,Sports,Activision,0.33,0.08,0.0,0.01,0.42
James Bond 007: Everything or Nothing,2004.0,Shooter,Electronic Arts,0.32,0.08,0.0,0.01,0.42
Mega Man Anniversary Collection,2004.0,Platform,Capcom,0.32,0.08,0.0,0.01,0.42
Harry Potter and the Goblet of Fire,2005.0,Action,Electronic Arts,0.32,0.08,0.0,0.01,0.42
Kumamon Bomber: Puzzle de Kumamon Taisou,2005.0,Puzzle,Sega,0.32,0.08,0.0,0.01,0.42
Mortal Kombat: Deadly Alliance,2002.0,Fighting,Midway Games,0.31,0.08,0.0,0.01,0.41
Tak and the Power of Juju,2003.0,Platform,THQ,0.31,0.08,0.0,0.01,0.4
Harry Potter: Quidditch World Cup,2003.0,Sports,Electronic Arts,0.31,0.08,0.0,0.01,0.4
Battalion Wars,2005.0,Strategy,Nintendo,0.25,0.07,0.07,0.01,0.4
Power Rangers: Dino Thunder,2004.0,Action,THQ,0.31,0.08,0.0,0.01,0.4
Rampage: Total Destruction,2006.0,Action,Midway Games,0.31,0.08,0.0,0.01,0.4
The Urbz: Sims in the City,2004.0,Simulation,Electronic Arts,0.24,0.14,0.0,0.02,0.4
Star Wars: Clone Wars,2002.0,Shooter,Activision,0.31,0.08,0.0,0.01,0.4
Call of Duty: Finest Hour,2004.0,Shooter,Activision,0.31,0.08,0.0,0.01,0.4
Donkey Konga 2,2004.0,Misc,Nintendo,0.3,0.08,0.0,0.01,0.39
Chibi-Robo! Plug into Adventure!,2005.0,Adventure,Nintendo,0.23,0.06,0.09,0.01,0.39
Turok: Evolution,2002.0,Shooter,Acclaim Entertainment,0.3,0.08,0.0,0.01,0.38
Marvel Nemesis: Rise of the Imperfects,2005.0,Fighting,Electronic Arts,0.3,0.08,0.0,0.01,0.38
SSX 3,2003.0,Sports,Electronic Arts,0.29,0.08,0.0,0.01,0.38
Pokemon Channel,2003.0,Adventure,Nintendo,0.24,0.06,0.07,0.01,0.38
Harry Potter and the Prisoner of Azkaban,2004.0,Action,Electronic Arts,0.29,0.08,0.0,0.01,0.38
Ultimate Spider-Man,2005.0,Action,Activision,0.29,0.07,0.0,0.01,0.37
"Monsters, Inc. Scream Arena",2002.0,Platform,THQ,0.29,0.07,0.0,0.01,0.37
Custom Robo,2004.0,Role-Playing,Nintendo,0.29,0.07,0.0,0.01,0.37
Pac-Man World 2,2002.0,Action,Nintendo,0.28,0.07,0.0,0.01,0.37
GoldenEye: Rogue Agent,2004.0,Shooter,Electronic Arts,0.28,0.07,0.0,0.01,0.36
Nicktoons: Unite!,2005.0,Adventure,THQ,0.27,0.07,0.0,0.01,0.35
Need for Speed Carbon,2006.0,Racing,Electronic Arts,0.27,0.07,0.0,0.01,0.35
NFL Street,2004.0,Sports,Electronic Arts,0.27,0.07,0.0,0.01,0.35
Over the Hedge,2006.0,Platform,Activision,0.27,0.07,0.0,0.01,0.35
WWE Day of Reckoning 2,2005.0,Fighting,THQ,0.26,0.07,0.0,0.01,0.34
Teenage Mutant Ninja Turtles,2003.0,Action,Konami Digital Entertainment,0.26,0.07,0.0,0.01,0.34
WWE Wrestlemania XIX,2003.0,Fighting,THQ,0.26,0.07,0.0,0.01,0.33
The Sims 2,2005.0,Simulation,Electronic Arts,0.26,0.07,0.0,0.01,0.33
Tak 2: The Staff of Dreams,2004.0,Platform,THQ,0.26,0.07,0.0,0.01,0.33
Call Of Duty 2: Big Red One,2005.0,Shooter,Activision,0.25,0.07,0.0,0.01,0.33
SpongeBob SquarePants: Creature from the Krusty Krab,2006.0,Platform,THQ,0.25,0.07,0.0,0.01,0.33
Naruto: Gekito Ninja Taisen! 4,2005.0,Fighting,Tomy Corporation,0.0,0.0,0.32,0.01,0.33
MVP Baseball 2005,2005.0,Sports,Electronic Arts,0.25,0.07,0.0,0.01,0.33
Teen Titans,2006.0,Action,THQ,0.25,0.07,0.0,0.01,0.33
NBA Live 06,2005.0,Sports,Electronic Arts,0.25,0.07,0.0,0.01,0.33
Prince of Persia: The Sands of Time,2003.0,Action,Ubisoft,0.25,0.06,0.0,0.01,0.32
NASCAR Thunder 2003,2002.0,Racing,Electronic Arts,0.24,0.06,0.0,0.01,0.31
Burnout,2002.0,Racing,Acclaim Entertainment,0.23,0.06,0.0,0.01,0.3
Shark Tale,2004.0,Action,Activision,0.23,0.06,0.0,0.01,0.3
Scooby-Doo! Night of 100 Frights,2002.0,Platform,THQ,0.23,0.06,0.0,0.01,0.3
NBA Street V3,2005.0,Sports,Electronic Arts,0.23,0.06,0.0,0.01,0.29
From TV Animation One Piece: Treasure Battle!,2002.0,Fighting,Namco Bandai Games,0.0,0.0,0.28,0.01,0.29
The Lord of the Rings: The Third Age,2004.0,Role-Playing,Electronic Arts,0.22,0.06,0.0,0.01,0.29
Spyro: A Hero's Tail,2004.0,Platform,Vivendi Games,0.22,0.06,0.0,0.01,0.29
ATV Quad Power Racing 2,2003.0,Racing,Acclaim Entertainment,0.22,0.06,0.0,0.01,0.28
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,2004.0,Action,THQ,0.22,0.06,0.0,0.01,0.28
Pokemon Box: Ruby & Sapphire,2003.0,Misc,Nintendo,0.0,0.0,0.27,0.01,0.28
Dave Mirra Freestyle BMX 2,2001.0,Sports,Acclaim Entertainment,0.21,0.06,0.0,0.01,0.28
Dragon Ball Z: Budokai 2,2004.0,Fighting,Atari,0.21,0.06,0.0,0.01,0.27
Baten Kaitos: Eternal Wings and the Lost Ocean,2003.0,Role-Playing,Nintendo,0.21,0.05,0.0,0.01,0.27
Disney's Chicken Little,2005.0,Platform,Disney Interactive Studios,0.21,0.05,0.0,0.01,0.27
Ty the Tasmanian Tiger,2002.0,Platform,Electronic Arts,0.21,0.05,0.0,0.01,0.27
NBA Live 2004,2003.0,Sports,Electronic Arts,0.21,0.05,0.0,0.01,0.27
The Sims 2: Pets,2006.0,Simulation,Electronic Arts,0.21,0.05,0.0,0.01,0.27
Star Wars: Bounty Hunter,2002.0,Shooter,LucasArts,0.2,0.05,0.0,0.01,0.26
Batman: Vengeance,2001.0,Adventure,Ubisoft,0.2,0.05,0.0,0.01,0.26
Crash Nitro Kart,2003.0,Racing,Vivendi Games,0.2,0.05,0.0,0.01,0.26
Lemony Snicket's A Series of Unfortunate Events,2004.0,Platform,Activision,0.2,0.05,0.0,0.01,0.26
Backyard NFL Football,2002.0,Sports,Infogrames,0.2,0.05,0.0,0.01,0.26
MVP Baseball 2004,2004.0,Sports,Electronic Arts,0.2,0.05,0.0,0.01,0.26
Bomberman Generation,2002.0,Adventure,Vivendi Games,0.15,0.04,0.06,0.01,0.25
Happy Feet,2006.0,Action,Midway Games,0.2,0.05,0.0,0.01,0.25
Medal of Honor European Assault,2005.0,Shooter,Electronic Arts,0.19,0.05,0.0,0.01,0.25
Billy Hatcher and the Giant Egg,2003.0,Platform,Sega,0.19,0.05,0.0,0.01,0.25
Def Jam Vendetta,2003.0,Fighting,Electronic Arts,0.19,0.05,0.0,0.01,0.25
"Ed, Edd n Eddy: The Mis-Edventures",2005.0,Platform,Midway Games,0.19,0.05,0.0,0.01,0.25
Nickelodeon Party Blast,2002.0,Misc,Atari,0.19,0.05,0.0,0.01,0.25
X-Men Legends II: Rise of Apocalypse,2005.0,Role-Playing,Activision,0.19,0.05,0.0,0.01,0.25
NBA Courtside 2002,2002.0,Sports,Nintendo,0.19,0.05,0.0,0.01,0.25
Harvest Moon: Magical Melody,2005.0,Simulation,Ubisoft,0.19,0.05,0.0,0.01,0.24
Peter Jackson's King Kong: The Official Game of the Movie,2005.0,Action,Ubisoft,0.19,0.05,0.0,0.01,0.24
The Simpsons: Road Rage,2001.0,Racing,Electronic Arts,0.19,0.05,0.0,0.01,0.24
Harvest Moon: Another Wonderful Life,2004.0,Role-Playing,Marvelous Interactive,0.19,0.05,0.0,0.01,0.24
Fantastic 4,2005.0,Action,Activision,0.19,0.05,0.0,0.01,0.24
Star Wars Jedi Knight II: Jedi Outcast,2002.0,Shooter,Activision,0.18,0.05,0.0,0.01,0.23
Tom Clancy's Splinter Cell,2003.0,Action,Ubisoft,0.18,0.05,0.0,0.01,0.23
Rocket Power: Beach Bandits,2002.0,Platform,THQ,0.18,0.05,0.0,0.01,0.23
Tiger Woods PGA Tour 2003,2002.0,Sports,Electronic Arts,0.18,0.05,0.0,0.01,0.23
Def Jam: Fight for NY,2004.0,Fighting,Electronic Arts,0.17,0.05,0.0,0.01,0.22
Mary-Kate and Ashley: Sweet 16 - Licenced to Drive,2003.0,Misc,Acclaim Entertainment,0.17,0.04,0.0,0.01,0.22
Skies of Arcadia Legends,2002.0,Role-Playing,Atari,0.17,0.04,0.0,0.01,0.22
NCAA Football 2005,2004.0,Sports,Electronic Arts,0.17,0.04,0.0,0.01,0.22
Tetris Worlds,2002.0,Puzzle,THQ,0.17,0.04,0.0,0.01,0.22
Viewtiful Joe 2,2004.0,Action,Capcom,0.17,0.04,0.0,0.01,0.22
All-Star Baseball 2002,2001.0,Sports,Acclaim Entertainment,0.17,0.04,0.0,0.01,0.22
From Russia With Love,2005.0,Action,Electronic Arts,0.17,0.04,0.0,0.01,0.22
NFL 2K3,2002.0,Sports,Sega,0.17,0.04,0.0,0.01,0.22
Scooby-Doo! Mystery Mayhem,2004.0,Action,THQ,0.17,0.04,0.0,0.01,0.22
Shrek SuperSlam,2005.0,Action,Activision,0.17,0.04,0.0,0.01,0.22
Namco Museum: 50th Anniversary,2005.0,Misc,Namco Bandai Games,0.17,0.04,0.0,0.01,0.21
Bratz: Forever Diamondz,2006.0,Adventure,THQ,0.17,0.04,0.0,0.01,0.21
Naruto: Clash of Ninja (JP sales),2003.0,Fighting,Tomy Corporation,0.0,0.0,0.21,0.01,0.21
The Fairly OddParents: Breakin' Da Rules,2003.0,Platform,THQ,0.16,0.04,0.0,0.01,0.21
Bionicle,2003.0,Action,Electronic Arts,0.16,0.04,0.0,0.01,0.21
NHL Hitz 20-02,2001.0,Sports,Midway Games,0.16,0.04,0.0,0.01,0.21
NCAA Football 2003,2002.0,Sports,Electronic Arts,0.16,0.04,0.0,0.01,0.21
BeyBlade VForce: Super Tournament Battle,2002.0,Action,Atari,0.16,0.04,0.0,0.01,0.21
Dragon Ball Z: Sagas,2005.0,Fighting,Atari,0.16,0.04,0.0,0.01,0.21
Bratz: Rock Angelz,2005.0,Misc,THQ,0.16,0.04,0.0,0.01,0.2
From TV Animation One Piece: Grand Battle! 3,2003.0,Fighting,Namco Bandai Games,0.0,0.0,0.2,0.01,0.2
The Fairly Odd Parents: Shadow Showdown,2004.0,Platform,THQ,0.16,0.04,0.0,0.01,0.2
Spy Hunter,2002.0,Racing,Midway Games,0.16,0.04,0.0,0.01,0.2
Ty the Tasmanian Tiger 2: Bush Rescue,2004.0,Platform,Electronic Arts,0.15,0.04,0.0,0.01,0.2
NFL Street 2,2004.0,Sports,Electronic Arts,0.15,0.04,0.0,0.01,0.2
SpongeBob SquarePants: Revenge of the Flying Dutchman,2002.0,Platform,THQ,0.15,0.04,0.0,0.01,0.2
MC Groovz Dance Craze,2004.0,Misc,Mad Catz,0.15,0.04,0.0,0.01,0.2
Prince of Persia: Warrior Within,2004.0,Action,Ubisoft,0.15,0.04,0.0,0.01,0.2
Ice Age 2: The Meltdown,2006.0,Platform,Vivendi Games,0.15,0.04,0.0,0.01,0.19
Disney's Magical Mirror Starring Mickey Mouse,2002.0,Adventure,Nintendo,0.15,0.04,0.0,0.01,0.19
Teenage Mutant Ninja Turtles 2: Battle Nexus,2004.0,Action,Konami Digital Entertainment,0.15,0.04,0.0,0.01,0.19
Hulk,2003.0,Action,Universal Interactive,0.15,0.04,0.0,0.01,0.19
The Legend of Spyro: A New Beginning,2006.0,Platform,Vivendi Games,0.15,0.04,0.0,0.01,0.19
Bloody Roar: Primal Fury,2002.0,Fighting,Activision,0.14,0.04,0.0,0.0,0.18
FIFA Soccer 07,2006.0,Sports,Electronic Arts,0.14,0.04,0.0,0.0,0.18
Gauntlet: Dark Legacy,2002.0,Action,Midway Games,0.14,0.04,0.0,0.0,0.18
Gun,2005.0,Shooter,Activision,0.14,0.04,0.0,0.0,0.18
FIFA Soccer 2002,2001.0,Sports,Electronic Arts,0.14,0.04,0.0,0.0,0.18
Disney's Tarzan Untamed,2001.0,Platform,Ubisoft,0.14,0.04,0.0,0.0,0.18
Charlie and the Chocolate Factory,2005.0,Adventure,Global Star,0.14,0.04,0.0,0.0,0.18
Rugrats: Royal Ransom,2002.0,Platform,THQ,0.13,0.03,0.0,0.0,0.17
Open Season,2006.0,Platform,Ubisoft,0.13,0.03,0.0,0.0,0.17
Major League Baseball 2K6,2006.0,Sports,Take-Two Interactive,0.13,0.03,0.0,0.0,0.17
The Grim Adventures of Billy & Mandy,2006.0,Action,Midway Games,0.13,0.03,0.0,0.0,0.17
The Hobbit,2003.0,Platform,Vivendi Games,0.13,0.03,0.0,0.0,0.17
True Crime: New York City,2005.0,Action,Activision,0.13,0.03,0.0,0.0,0.17
Fight Night Round 2,2005.0,Fighting,Electronic Arts,0.13,0.03,0.0,0.0,0.17
Looney Tunes: Back in Action,2003.0,Platform,Warner Bros. Interactive Entertainment,0.13,0.03,0.0,0.0,0.17
SSX On Tour,2005.0,Sports,Electronic Arts,0.13,0.03,0.0,0.0,0.17
Shrek Extra Large,2002.0,Platform,TDK Mediactive,0.13,0.03,0.0,0.0,0.17
Mega Man Network Transmission,2003.0,Platform,Capcom,0.13,0.03,0.0,0.0,0.17
Lost Kingdoms,2002.0,Role-Playing,Activision,0.1,0.02,0.04,0.0,0.17
Midway Arcade Treasures,2003.0,Misc,Midway Games,0.13,0.03,0.0,0.0,0.17
Cubivore: Survival of the Fittest,2002.0,Adventure,Nintendo,0.01,0.0,0.15,0.0,0.17
Robotech: Battlecry,2002.0,Shooter,TDK Mediactive,0.13,0.03,0.0,0.0,0.16
Midway Arcade Treasures 2,2004.0,Misc,Midway Games,0.13,0.03,0.0,0.0,0.16
Hot Wheels World Race,2003.0,Racing,THQ,0.13,0.03,0.0,0.0,0.16
Crash Tag Team Racing,2005.0,Racing,Vivendi Games,0.12,0.03,0.0,0.0,0.16
The Incredibles: Rise of the Underminer,2005.0,Action,THQ,0.12,0.03,0.0,0.0,0.16
Flushed Away,2006.0,Platform,D3Publisher,0.12,0.03,0.0,0.0,0.16
Robots,2005.0,Action,Vivendi Games,0.12,0.03,0.0,0.0,0.16
Tiger Woods PGA Tour 2004,2003.0,Sports,Electronic Arts,0.12,0.03,0.0,0.0,0.16
NBA 2K3,2002.0,Sports,Sega,0.12,0.03,0.0,0.0,0.16
Burnout 2: Point of Impact,2003.0,Racing,Acclaim Entertainment,0.12,0.03,0.0,0.0,0.15
Tak: The Great Juju Challenge,2005.0,Platform,THQ,0.12,0.03,0.0,0.0,0.15
Knockout Kings 2003,2002.0,Sports,Electronic Arts,0.12,0.03,0.0,0.0,0.15
NCAA Football 2004,2003.0,Sports,Electronic Arts,0.12,0.03,0.0,0.0,0.15
XGIII: Extreme G Racing,2001.0,Racing,Acclaim Entertainment,0.12,0.03,0.0,0.0,0.15
Scooby-Doo! Unmasked,2005.0,Platform,THQ,0.12,0.03,0.0,0.0,0.15
Army Men: Sarge's War,2004.0,Shooter,Global Star,0.12,0.03,0.0,0.0,0.15
Frogger's Adventures: The Rescue,2003.0,Platform,Konami Digital Entertainment,0.12,0.03,0.0,0.0,0.15
Zoids: Battle Legends,2003.0,Action,Tomy Corporation,0.12,0.03,0.0,0.0,0.15
Killer7,2005.0,Action,Capcom,0.12,0.03,0.0,0.0,0.15
Super Monkey Ball Adventure,2006.0,Platform,Sega,0.12,0.03,0.0,0.0,0.15
Top Gun: Combat Zones,2002.0,Simulation,Titus,0.12,0.03,0.0,0.0,0.15
All-Star Baseball 2003,2002.0,Sports,Acclaim Entertainment,0.12,0.03,0.0,0.0,0.15
X-Men: The Official Game,2006.0,Action,Activision,0.12,0.03,0.0,0.0,0.15
Curious George,2006.0,Action,Namco Bandai Games,0.11,0.03,0.0,0.0,0.15
Geist,2005.0,Adventure,Nintendo,0.11,0.03,0.0,0.0,0.15
The Incredible Hulk: Ultimate Destruction,2005.0,Action,Vivendi Games,0.11,0.03,0.0,0.0,0.15
Prince of Persia: The Two Thrones,2005.0,Action,Ubisoft,0.11,0.03,0.0,0.0,0.15
Batman Begins,2005.0,Action,Electronic Arts,0.11,0.03,0.0,0.0,0.15
Tom Clancy's Ghost Recon,2003.0,Shooter,Ubisoft,0.11,0.03,0.0,0.0,0.15
MLB SlugFest 20-03,2002.0,Sports,Midway Games,0.11,0.03,0.0,0.0,0.15
Ratatouille,2007.0,Action,THQ,0.11,0.03,0.0,0.0,0.14
