Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Forza Horizon 2,2014.0,Racing,Microsoft Game Studios,0.5,0.78,0.01,0.11,1.4
Ryse: Son of Rome,2013.0,Action,Microsoft Game Studios,0.83,0.43,0.0,0.13,1.38
Mortal Kombat X,2015.0,Fighting,Warner Bros. Interactive Entertainment,1.03,0.21,0.0,0.14,1.38
Rise of the Tomb Raider,2015.0,Adventure,Square Enix,0.55,0.7,0.02,0.11,1.38
Middle-Earth: Shadow of Mordor,2014.0,Action,Warner Bros. Interactive Entertainment,0.73,0.5,0.01,0.12,1.35
Gears of War 4,2016.0,Shooter,Microsoft Game Studios,0.78,0.44,0.0,0.12,1.35
Tom Clancy's Rainbow Six: Siege,2015.0,Shooter,Ubisoft,0.77,0.45,0.0,0.12,1.34
The Witcher 3: Wild Hunt,2015.0,Role-Playing,Namco Bandai Games,0.69,0.5,0.0,0.11,1.31
Assassin's Creed Syndicate,2015.0,Action,Ubisoft,0.62,0.56,0.0,0.11,1.3
Dying Light,2015.0,Action,Warner Bros. Interactive Entertainment,0.86,0.3,0.01,0.12,1.29
The Elder Scrolls Online,2015.0,Role-Playing,Bethesda Softworks,0.78,0.38,0.0,0.12,1.28
Madden NFL 17,2016.0,Sports,Electronic Arts,1.08,0.02,0.0,0.13,1.23
Battlefield: Hardline,2015.0,Shooter,Electronic Arts,0.72,0.37,0.01,0.11,1.21
Destiny: The Taken King,2015.0,Shooter,Activision,0.85,0.23,0.0,0.12,1.19
FIFA 14,2013.0,Sports,Electronic Arts,0.41,0.66,0.0,0.09,1.16
Sunset Overdrive,2014.0,Shooter,Microsoft Game Studios,0.63,0.4,0.0,0.1,1.14
Forza Horizon 3,2016.0,Racing,Microsoft Game Studios,0.42,0.58,0.0,0.08,1.08
Overwatch,2016.0,Shooter,Activision,0.63,0.33,0.0,0.1,1.06
LEGO Marvel Super Heroes,2013.0,Action,Warner Bros. Interactive Entertainment,0.61,0.35,0.0,0.09,1.06
NBA 2K17,2016.0,Sports,Take-Two Interactive,0.86,0.06,0.0,0.11,1.02
Dragon Age: Inquisition,2014.0,Role-Playing,Electronic Arts,0.56,0.28,0.0,0.09,0.93
NBA 2K14,2013.0,Sports,Take-Two Interactive,0.7,0.11,0.0,0.09,0.91
Just Cause 3,2015.0,Action,Square Enix,0.44,0.39,0.0,0.08,0.9
Far Cry: Primal,2016.0,Action,Ubisoft,0.47,0.33,0.0,0.08,0.88
Madden NFL 25,2013.0,Sports,Electronic Arts,0.67,0.05,0.0,0.08,0.81
Rare Replay,2015.0,Misc,Microsoft Game Studios,0.49,0.22,0.01,0.07,0.79
Doom (2016),2016.0,Shooter,Bethesda Softworks,0.44,0.25,0.0,0.07,0.76
Metal Gear Solid V: The Phantom Pain,2015.0,Action,Konami Digital Entertainment,0.41,0.26,0.01,0.07,0.75
The Elder Scrolls V: Skyrim,2016.0,Role-Playing,Bethesda Softworks,0.41,0.27,0.0,0.07,0.74
Need for Speed (2015),2015.0,Racing,Electronic Arts,0.3,0.33,0.0,0.06,0.69
Plants vs. Zombies: Garden Warfare,2014.0,Shooter,Electronic Arts,0.39,0.23,0.0,0.06,0.69
Need for Speed Rivals,2013.0,Racing,Electronic Arts,0.46,0.17,0.0,0.07,0.69
Wolfenstein: The New Order,2014.0,Shooter,Bethesda Softworks,0.34,0.28,0.0,0.06,0.68
The Evil Within,2014.0,Action,Bethesda Softworks,0.35,0.25,0.0,0.06,0.67
Diablo III,2014.0,Role-Playing,Activision,0.36,0.24,0.0,0.06,0.66
LEGO Jurassic World,2015.0,Action,Warner Bros. Interactive Entertainment,0.38,0.22,0.0,0.06,0.65
The Crew,2014.0,Racing,Ubisoft,0.25,0.34,0.0,0.05,0.64
Evolve,2015.0,Shooter,Take-Two Interactive,0.37,0.2,0.0,0.06,0.64
Mafia III,2016.0,Action,Take-Two Interactive,0.28,0.29,0.0,0.05,0.62
Tomb Raider (2013),2014.0,Action,Square Enix,0.35,0.21,0.0,0.05,0.61
Kinect Sports Rivals,2014.0,Sports,Microsoft Game Studios,0.3,0.23,0.02,0.05,0.6
WWE 2K16,2015.0,Sports,Take-Two Interactive,0.32,0.22,0.0,0.05,0.59
Titanfall 2,2016.0,Shooter,Electronic Arts,0.37,0.15,0.0,0.05,0.57
WWE 2K15,2014.0,Sports,Take-Two Interactive,0.29,0.23,0.0,0.05,0.57
Minecraft: Story Mode,2015.0,Adventure,Mojang,0.3,0.21,0.0,0.05,0.56
Quantum Break,2016.0,Action,Microsoft Game Studios,0.3,0.2,0.01,0.05,0.56
Guitar Hero Live,2015.0,Misc,Activision,0.3,0.2,0.0,0.05,0.55
Just Dance 2015,2014.0,Misc,Ubisoft,0.35,0.13,0.0,0.05,0.53
The LEGO Movie Videogame,2014.0,Action,Warner Bros. Interactive Entertainment,0.35,0.13,0.0,0.05,0.53
Alien: Isolation,2014.0,Shooter,Sega,0.22,0.24,0.0,0.04,0.51
Mad Max (2015),2015.0,Action,Warner Bros. Interactive Entertainment,0.28,0.16,0.0,0.04,0.48
Plants vs. Zombies: Garden Warfare 2,2016.0,Shooter,Electronic Arts,0.29,0.15,0.0,0.04,0.48
NHL 16,2015.0,Sports,Electronic Arts,0.38,0.05,0.0,0.05,0.48
Rock Band 4,2015.0,Misc,Harmonix Music Systems,0.38,0.04,0.0,0.05,0.47
EA Sports UFC,2014.0,Sports,Electronic Arts,0.3,0.12,0.0,0.04,0.47
Thief (2014),2014.0,Action,Square Enix,0.26,0.15,0.0,0.04,0.46
Just Dance 2014,2013.0,Misc,Ubisoft,0.3,0.11,0.0,0.04,0.45
Disney Infinity 2.0: Marvel Super Heroes,2014.0,Action,Disney Interactive Studios,0.25,0.15,0.0,0.04,0.44
Borderlands: The Handsome Collection,2015.0,Shooter,Take-Two Interactive,0.26,0.13,0.0,0.04,0.43
Lego Batman 3: Beyond Gotham,2014.0,Action,Warner Bros. Interactive Entertainment,0.23,0.17,0.0,0.04,0.43
EA Sports UFC 2,2016.0,Sports,Electronic Arts,0.24,0.14,0.0,0.04,0.41
LEGO Dimensions,2015.0,Action,Warner Bros. Interactive Entertainment,0.22,0.15,0.0,0.04,0.41
NHL 15,2014.0,Sports,Electronic Arts,0.31,0.06,0.0,0.04,0.41
Rocksmith 2014,2014.0,Misc,Ubisoft,0.29,0.08,0.0,0.04,0.41
Dark Souls III,2016.0,Role-Playing,Namco Bandai Games,0.26,0.09,0.0,0.04,0.39
Skylanders: Trap Team,2014.0,Action,Activision,0.26,0.07,0.0,0.04,0.37
Zoo Tycoon (2013),2013.0,Simulation,Microsoft Game Studios,0.18,0.15,0.0,0.03,0.36
Watch Dogs 2,2016.0,Action,Ubisoft,0.17,0.16,0.0,0.03,0.36
LEGO Marvel's Avengers,2016.0,Action,Warner Bros. Interactive Entertainment,0.19,0.12,0.0,0.03,0.35
Sniper Elite 3,2014.0,Shooter,505 Games,0.2,0.11,0.0,0.03,0.35
Rayman Legends,2014.0,Platform,Ubisoft,0.13,0.18,0.0,0.03,0.34
Disney Infinity 3.0,2015.0,Action,Disney Interactive Studios,0.2,0.11,0.0,0.03,0.34
Just Dance 2016,2015.0,Misc,Ubisoft,0.25,0.04,0.0,0.03,0.32
Dragon Ball: XenoVerse,2015.0,Fighting,Namco Bandai Games,0.18,0.11,0.0,0.03,0.32
Skylanders SWAP Force,2013.0,Platform,Activision,0.22,0.06,0.0,0.03,0.32
Metro: Last Light,2014.0,Action,Deep Silver,0.15,0.13,0.0,0.03,0.31
Naruto Shippuden: Ultimate Ninja Storm 4,2016.0,Fighting,Namco Bandai Games,0.21,0.07,0.0,0.03,0.3
Lego Star Wars: The Force Awakens,2016.0,Action,Warner Bros. Interactive Entertainment,0.14,0.13,0.0,0.02,0.3
Metal Gear Solid V: Ground Zeroes,2014.0,Action,Konami Digital Entertainment,0.15,0.11,0.0,0.02,0.29
Rory McIlroy PGA Tour,2015.0,Action,Electronic Arts,0.16,0.09,0.0,0.02,0.27
LEGO The Hobbit,2014.0,Action,Warner Bros. Interactive Entertainment,0.13,0.12,0.0,0.02,0.27
WWE 2K17,2016.0,Sports,Take-Two Interactive,0.12,0.12,0.0,0.02,0.26
Project CARS,2015.0,Racing,Slightly Mad Studios,0.11,0.13,0.0,0.02,0.26
Final Fantasy Type-0,2015.0,Role-Playing,Square Enix,0.16,0.07,0.0,0.02,0.25
F1 2015,2015.0,Racing,Codemasters,0.08,0.15,0.0,0.02,0.25
Trials Fusion,2014.0,Racing,Ubisoft,0.12,0.1,0.0,0.02,0.24
Skylanders: SuperChargers,2015.0,Action,Activision,0.17,0.05,0.0,0.02,0.24
NHL 17,2016.0,Sports,Electronic Arts,0.2,0.01,0.0,0.03,0.24
Zumba Fitness: World Party,2013.0,Misc,Majesco Entertainment,0.17,0.05,0.0,0.02,0.24
Rocket League,2016.0,Sports,505 Games,0.05,0.17,0.0,0.02,0.24
Dark Souls II,2015.0,Role-Playing,Namco Bandai Games,0.14,0.07,0.0,0.02,0.23
Dishonored 2,2016.0,Action,Bethesda Softworks,0.12,0.08,0.0,0.02,0.22
Lords of the Fallen,2014.0,Role-Playing,Square Enix,0.1,0.1,0.0,0.02,0.22
The Amazing Spider-Man 2 (2014),2014.0,Action,Activision,0.12,0.08,0.0,0.02,0.22
State of Decay,2015.0,Strategy,Microsoft Game Studios,0.14,0.05,0.0,0.02,0.21
NBA Live 15,2014.0,Sports,Electronic Arts,0.17,0.02,0.0,0.02,0.21
Saints Row IV,2015.0,Action,Deep Silver,0.1,0.09,0.0,0.02,0.2
NBA Live 14,2013.0,Sports,Electronic Arts,0.16,0.02,0.0,0.02,0.2
Dragon Ball: Xenoverse 2,2016.0,Action,Namco Bandai Games,0.11,0.07,0.0,0.02,0.2
Sleeping Dogs,2014.0,Action,Square Enix,0.1,0.09,0.0,0.02,0.2
Farming Simulator 2015,2015.0,Simulation,Koch Media,0.1,0.08,0.0,0.02,0.2
Fighter Within,2013.0,Fighting,Ubisoft,0.11,0.07,0.0,0.02,0.19
Dance Central: Spotlight,2014.0,Misc,Microsoft Game Studios,0.15,0.03,0.0,0.0,0.19
Shape Up,2014.0,Misc,Ubisoft,0.08,0.09,0.0,0.01,0.18
Payday 2,2015.0,Shooter,505 Games,0.09,0.07,0.0,0.02,0.18
Project Spark,2014.0,Misc,Microsoft Game Studios,0.11,0.05,0.0,0.02,0.17
Deus Ex: Mankind Divided,2016.0,Role-Playing,Square Enix,0.09,0.06,0.0,0.01,0.17
Mirror's Edge Catalyst,2016.0,Platform,Electronic Arts,0.09,0.06,0.0,0.01,0.16
Murdered: Soul Suspect,2014.0,Action,Square Enix,0.08,0.07,0.0,0.01,0.16
Angry Birds Star Wars,2013.0,Strategy,Activision,0.11,0.04,0.0,0.02,0.16
BioShock The Collection,2016.0,Shooter,Take-Two Interactive,0.08,0.06,0.0,0.01,0.16
The Walking Dead: Season One,2014.0,Adventure,Telltale Games,0.08,0.06,0.0,0.01,0.16
Fantasia: Music Evolved,2014.0,Misc,Disney Interactive Studios,0.11,0.03,0.0,0.01,0.15
Wolfenstein: The Old Blood,2015.0,Action,Bethesda Softworks,0.07,0.07,0.0,0.01,0.15
Dishonored,2015.0,Action,Bethesda Softworks,0.09,0.05,0.0,0.01,0.15
Battleborn,2016.0,Shooter,Take-Two Interactive,0.1,0.04,0.0,0.01,0.15
ReCore,2016.0,Action,Microsoft Game Studios,0.08,0.05,0.0,0.01,0.15
Pro Evolution Soccer 2015,2014.0,Sports,Konami Digital Entertainment,0.03,0.1,0.0,0.01,0.14
The Walking Dead: Season Two,2014.0,Adventure,Telltale Games,0.08,0.05,0.0,0.01,0.14
Homefront: The Revolution,2016.0,Shooter,Deep Silver,0.06,0.07,0.0,0.01,0.14
Transformers: Devastation,2015.0,Action,Activision,0.09,0.04,0.0,0.01,0.14
DmC: Devil May Cry,2015.0,Action,Capcom,0.08,0.04,0.0,0.01,0.14
Life is Strange,2016.0,Adventure,Square Enix,0.09,0.03,0.0,0.01,0.13
Hasbro Family Fun Pack,2015.0,Misc,Ubisoft,0.1,0.02,0.0,0.01,0.13
Deadpool,2015.0,Action,Activision,0.09,0.03,0.0,0.01,0.12
DiRT Rally,2016.0,Racing,Codemasters,0.04,0.08,0.0,0.01,0.12
F1 2016 (Codemasters),2016.0,Racing,Codemasters,0.03,0.08,0.0,0.01,0.12
Destiny: The Collection,2016.0,Shooter,Activision,0.05,0.06,0.0,0.01,0.12
Farming Simulator 17,2016.0,Simulation,Focus Home Interactive,0.04,0.07,0.0,0.01,0.12
Tony Hawk's Pro Skater 5,2015.0,Sports,Activision,0.09,0.02,0.0,0.01,0.12
Transformer: Rise of the Dark Spark,2014.0,Action,Activision,0.07,0.03,0.0,0.01,0.11
Batman: Return to Arkham,2016.0,Action,Warner Bros. Interactive Entertainment,0.05,0.05,0.0,0.01,0.11
NBA Live 16,2015.0,Sports,Electronic Arts,0.09,0.01,0.0,0.01,0.11
Zombie Army Trilogy,2015.0,Shooter,Rebellion Developments,0.05,0.05,0.0,0.01,0.11
Pro Evolution Soccer 2016,2015.0,Sports,Konami Digital Entertainment,0.04,0.06,0.0,0.01,0.11
Ride,2015.0,Racing,Milestone S.r.l.,0.04,0.05,0.0,0.01,0.1
Resident Evil: Revelations 2,2015.0,Action,Capcom,0.07,0.02,0.0,0.01,0.1
Skylanders Imaginators,2016.0,Platform,Activision,0.05,0.04,0.0,0.01,0.1
Dead or Alive 5,2015.0,Fighting,Tecmo Koei,0.05,0.03,0.01,0.01,0.09
Rugby 15,2015.0,Sports,Bigben Interactive,0.03,0.05,0.0,0.01,0.09
Sherlock Holmes: Crimes & Punishments,2014.0,Adventure,Focus Home Interactive,0.03,0.04,0.0,0.01,0.08
Resident Evil Zero,2016.0,Action,Capcom,0.05,0.02,0.0,0.01,0.08
Assassin's Creed The Ezio Collection,2016.0,Action,Ubisoft,0.03,0.04,0.0,0.01,0.08
The Wolf Among Us,2014.0,Adventure,Telltale Games,0.05,0.02,0.0,0.01,0.08
Killer Instinct (2013),2013.0,Fighting,Microsoft Game Studios,0.04,0.03,0.0,0.01,0.07
Divinity: Original Sin,2015.0,Role-Playing,Focus Home Interactive,0.04,0.03,0.0,0.01,0.07
Just Dance: Disney Party 2,2015.0,Action,Ubisoft,0.05,0.01,0.0,0.01,0.07
Dynasty Warriors 8: Empires,2014.0,Action,Tecmo Koei,0.04,0.02,0.0,0.01,0.07
BlazBlue: Chrono Phantasma Extend,2015.0,Action,PQube,0.05,0.01,0.0,0.01,0.07
Darksiders II,2015.0,Action,Nordic Games,0.04,0.02,0.0,0.01,0.06
One Piece: Burning Blood,2016.0,Fighting,Namco Bandai Games,0.03,0.02,0.0,0.01,0.06
TrackMania Turbo,2016.0,Action,Ubisoft,0.02,0.04,0.0,0.0,0.06
Attack on Titan (KOEI),2016.0,Action,Tecmo Koei,0.02,0.03,0.0,0.0,0.06
Song of the Deep,2016.0,Action,Insomniac Games,0.05,0.0,0.0,0.01,0.06
MXGP 2,2016.0,Racing,Milestone S.r.l.,0.03,0.02,0.0,0.01,0.06
Toy Soldiers: War Chest,2015.0,Action,Ubisoft,0.05,0.0,0.0,0.01,0.06
7 Days to Die,2016.0,Action,Telltale Games,0.03,0.02,0.0,0.0,0.05
Adventure Time: Finn & Jake Investigations,2015.0,Action,Little Orbit,0.03,0.02,0.0,0.0,0.05
Dead Island Definitive Collection,2016.0,Action,Deep Silver,0.02,0.03,0.0,0.0,0.05
Bladestorm: Nightmare,2015.0,Action,Tecmo Koei,0.03,0.02,0.0,0.0,0.05
Wasteland 2,2015.0,Role-Playing,Deep Silver,0.04,0.01,0.0,0.01,0.05
R.B.I. Baseball 2016,2016.0,Sports,MLB.com,0.05,0.0,0.0,0.01,0.05
Ghostbusters (2016),2016.0,Action,Activision,0.04,0.0,0.0,0.01,0.05
Pro Evolution Soccer 2017,2016.0,Sports,Konami Digital Entertainment,0.01,0.03,0.0,0.0,0.05
XCOM 2,2016.0,Strategy,Take-Two Interactive,0.02,0.02,0.0,0.0,0.05
Resident Evil 6,2016.0,Shooter,Capcom,0.04,0.0,0.0,0.0,0.05
Teenage Mutant Ninja Turtles: Mutants in Manhattan,2016.0,Action,Activision,0.03,0.01,0.0,0.0,0.04
Brothers: A Tale of Two Sons,2015.0,Adventure,505 Games,0.03,0.01,0.0,0.0,0.04
Terraria,2014.0,Action,505 Games,0.0,0.04,0.0,0.0,0.04
Don Bradman Cricket 14,2015.0,Sports,Tru Blu Entertainment,0.0,0.04,0.0,0.0,0.04
Warriors Orochi 3,2014.0,Action,Tecmo Koei,0.01,0.03,0.0,0.0,0.04
NASCAR Heat Evolution,2016.0,Racing,Dusenberry Martin Racing,0.03,0.0,0.0,0.0,0.04
Just Dance 2017,2016.0,Misc,Ubisoft,0.03,0.0,0.0,0.0,0.04
Game of Thrones (Telltale),2015.0,Adventure,Telltale Games,0.03,0.0,0.0,0.0,0.03
MotoGP 15,2015.0,Racing,Milestone S.r.l.,0.0,0.03,0.0,0.0,0.03
The Golf Club,2014.0,Sports,Unknown,0.03,0.0,0.0,0.0,0.03
Valentino Rossi: The Game,2016.0,Racing,Namco Bandai Games,0.01,0.02,0.0,0.0,0.03
Batman: A Telltale Game Series,2016.0,Adventure,Telltale Games,0.02,0.01,0.0,0.0,0.03
MX vs. ATV Supercross Encore,2015.0,Sports,Nordic Games,0.02,0.0,0.0,0.0,0.03
The Technomancer,2016.0,Role-Playing,Focus Home Interactive,0.01,0.01,0.0,0.0,0.03
Duke Nukem 3D: 20th Anniversary World Tour,2016.0,Shooter,Gearbox Software,0.02,0.0,0.0,0.0,0.03
Rugby World Cup 2015,2015.0,Sports,Ubisoft,0.0,0.02,0.0,0.0,0.02
Atari Flashback Classics: Volume 1,2016.0,Misc,Atari,0.02,0.0,0.0,0.0,0.02
Atari Flashback Classics: Volume 2,2016.0,Misc,Atari,0.02,0.0,0.0,0.0,0.02
Carmageddon: Max Damage,2016.0,Action,Stainless Games,0.01,0.01,0.0,0.0,0.02
Resident Evil 4 HD,2016.0,Shooter,Capcom,0.02,0.0,0.0,0.0,0.02
Arslan: The Warriors of Legend,2016.0,Action,Tecmo Koei,0.01,0.0,0.0,0.0,0.02
Resident Evil 5 HD,2016.0,Action,Capcom,0.02,0.0,0.0,0.0,0.02
Mighty No. 9,2016.0,Platform,Deep Silver,0.02,0.0,0.0,0.0,0.02
The Crew: Wild Run,2015.0,Action,Ubisoft,0.0,0.02,0.0,0.0,0.02
Back to the Future: The Game,2015.0,Adventure,Telltale Games,0.0,0.02,0.0,0.0,0.02
Broken Sword 5: The Serpent's Curse,2015.0,Adventure,Revolution Software,0.0,0.02,0.0,0.0,0.02
Dead Rising 2,2016.0,Action,Capcom,0.01,0.0,0.0,0.0,0.02
Mark McMorris Infinite Air,2016.0,Sports,FuRyu Corporation,0.01,0.0,0.0,0.0,0.02
Pac-Man Championship Edition 2 + Arcade Game Series,2016.0,Action,Namco Bandai Games,0.01,0.0,0.0,0.0,0.02
Assetto Corsa,2016.0,Racing,505 Games,0.0,0.01,0.0,0.0,0.02
WRC 5: FIA World Rally Championship,2015.0,Sports,Bigben Interactive,0.0,0.01,0.0,0.0,0.01
Dead Rising,2016.0,Action,Capcom,0.01,0.0,0.0,0.0,0.01
Psycho-Pass,2014.0,Adventure,5pb,0.0,0.0,0.01,0.0,0.01
Rocksmith 2014 Edition Remastered,2016.0,Misc,Ubisoft,0.01,0.0,0.0,0.0,0.01
Darksiders: Warmastered Edition,2016.0,Action,Nordic Games,0.01,0.0,0.0,0.0,0.01
Worms: WMD,2016.0,Action,Sold Out,0.01,0.0,0.0,0.0,0.01
Prototype: Biohazard Bundle,2016.0,Action,Activision,0.01,0.0,0.0,0.0,0.01
Agatha Christie's The ABC Murders,2016.0,Adventure,Microids,0.01,0.0,0.0,0.0,0.01
Goat Simulator,2016.0,Simulation,Koch Media,0.0,0.01,0.0,0.0,0.01
Ride 2,2016.0,Racing,Milestone S.r.l,0.0,0.01,0.0,0.0,0.01
Rugby League Live 3,2015.0,Action,Tru Blu Entertainment,0.0,0.01,0.0,0.0,0.01
Assassin's Creed Chronicles,2016.0,Action,Ubisoft,0.0,0.01,0.0,0.0,0.01
Hitman (2016),2016.0,Action,Square Enix,0.0,0.01,0.0,0.0,0.01
Rabbids Invasion: The Interactive TV Show,2014.0,Misc,Ubisoft,0.0,0.01,0.0,0.0,0.01
Saints Row: Gat out of Hell,2015.0,Action,Deep Silver,0.0,0.01,0.0,0.0,0.01
Sébastien Loeb Rally Evo,2016.0,Racing,Milestone S.r.l,0.0,0.01,0.0,0.0,0.01
Rugby Challenge 3,2016.0,Sports,Alternative Software,0.0,0.01,0.0,0.0,0.01
ZombiU,2016.0,Action,Ubisoft,0.0,0.01,0.0,0.0,0.01
Prison Architect,2016.0,Action,Introversion Software,0.01,0.0,0.0,0.0,0.01
Metal Gear Solid V: The Definitive Experience,2016.0,Action,Konami Digital Entertainment,0.01,0.0,0.0,0.0,0.01
